"","response_uuid","Age","Trial","Usable frames (%)","person_good"
"117","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","3",0.87248322147651,0.946153846153846
"118","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","4",0.72,0.509259259259259
"119","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","5",0.802631578947368,0.040983606557377
"120","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","6",0.867549668874172,0.99236641221374
"121","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","7",0.860927152317881,0.715384615384615
"122","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","8",0.879194630872483,0.49618320610687
"123","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","9",0.75,0.12280701754386
"124","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","10",0.890710382513661,0.846625766871166
"125","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","1",0.626666666666667,0.840425531914894
"126","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","2",0.98,0.482993197278912
"127","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","4",0.986666666666667,0.310810810810811
"128","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","6",0.960264900662252,0.351724137931034
"129","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","7",0.940397350993378,0.528169014084507
"130","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","8",0.986577181208054,0.435374149659864
"131","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","10",0.852459016393443,0.916666666666667
"132","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","2",0.94,0.631205673758865
"133","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","4",0.96,0.486111111111111
"134","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","6",0.834437086092715,0.69047619047619
"135","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","7",0.933774834437086,0.829787234042553
"136","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","8",0.845637583892617,0.96031746031746
"137","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","10",0.879781420765027,0.75776397515528
"138","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","6","1",0.633333333333333,0.821052631578947
"139","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","6","2",0.74,0.585585585585586
"140","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","6","4",0.533333333333333,0.8625
"141","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","6","5",0.861842105263158,0.679389312977099
"142","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","6","6",0.562913907284768,0.0235294117647059
"143","2817e5e3-7bf5-45c3-b800-2e0ddc4ed608","6","9",0.638157894736842,0.257731958762887
"144","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","1",0.873333333333333,0.755725190839695
"145","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","2",0.773333333333333,0.646551724137931
"146","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","3",0.718120805369127,0.934579439252336
"147","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","4",0.786666666666667,0.728813559322034
"148","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","5",0.875,0.917293233082707
"149","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","6",0.854304635761589,0.62015503875969
"150","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","7",0.966887417218543,0.787671232876712
"151","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","8",0.926174496644295,0.58695652173913
"152","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","9",0.93421052631579,0.894366197183099
"153","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","10",0.85792349726776,0.668789808917197
"154","2ac97100-84f4-4172-a88f-82e8e886ea58","12","1",0.786666666666667,0.279661016949153
"155","2ac97100-84f4-4172-a88f-82e8e886ea58","12","2",0.846666666666667,0.622047244094488
"156","2ac97100-84f4-4172-a88f-82e8e886ea58","12","3",0.932885906040268,0.741007194244604
"157","2ac97100-84f4-4172-a88f-82e8e886ea58","12","4",0.333333333333333,0.14
"158","2ac97100-84f4-4172-a88f-82e8e886ea58","12","6",0.675496688741722,0.588235294117647
"159","2ac97100-84f4-4172-a88f-82e8e886ea58","12","7",0.874172185430464,0.840909090909091
"160","2ac97100-84f4-4172-a88f-82e8e886ea58","12","8",0.805369127516778,0.8
"161","2ac97100-84f4-4172-a88f-82e8e886ea58","12","10",0.830601092896175,0.736842105263158
"162","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","1",0.92,0.0289855072463768
"163","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","2",0.673333333333333,0.603960396039604
"164","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","3",0.785234899328859,0.692307692307692
"165","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","4",0.753333333333333,0.176991150442478
"166","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","5",0.664473684210526,0.821782178217822
"167","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","7",0.814569536423841,0.975609756097561
