"response_uuid","Age","Trial","target_prop","Stimulus type"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","3",0.238,"Small Constant"
"3253da16-238b-4f45-8610-dff84aa897d4","6","2",0.806,"Small Constant"
"3253da16-238b-4f45-8610-dff84aa897d4","6","3",0.257,"Small Constant"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","2",0.735,"Small Constant"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","3",0.399,"Small Constant"
"25c12ba4-d8c9-4e68-8309-cba774c947db","6","1",0.327,"Small Constant"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","2",0.946,"Small Constant"
"8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","4",0.558,"Small Constant"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12","4",0.474,"Small Constant"
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","1",0.638,"Small Constant"
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","2",0.968,"Small Constant"
"b3281ac1-0414-4b63-884a-00770a2c0498","6","1",0.742,"Small Constant"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","1",0.946,"Small Constant"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","2",0.702,"Small Constant"
"2422cca0-c228-4211-86c5-809afbcc7a4d","12","4",0.307,"Small Constant"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","3",0.311,"Small Constant"
"3253da16-238b-4f45-8610-dff84aa897d4","6","4",0.849,"Small Constant"
"8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","1",0.533,"Small Constant"
"8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","2",0.805,"Small Constant"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","1",0.342,"Small Constant"
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12","4",0.982,"Small Constant"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","4",0.938,"Small Constant"
"b3281ac1-0414-4b63-884a-00770a2c0498","6","2",0.757,"Small Constant"
"2422cca0-c228-4211-86c5-809afbcc7a4d","12","1",0.673,"Small Constant"
