"","response_uuid","Age","Trial","Usable frames (%)","synch_good"
"78","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","2",0.860349127182045,0.353623188405797
"79","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","3",0.675,0.637037037037037
"80","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","4",0.805970149253731,0.611111111111111
"81","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","5",0.655860349127182,0.250950570342205
"82","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","6",0.379052369077307,0.848684210526316
"83","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","1",0.942643391521197,0.58994708994709
"84","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","2",0.907730673316708,0.651098901098901
"85","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","3",0.975,0.597435897435897
"86","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","4",0.950248756218905,0.586387434554974
"87","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","5",0.922693266832918,0.551351351351351
"88","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","6",0.890274314214464,0.355742296918768
"89","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","1",0.623441396508728,0.372
"90","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","2",0.72568578553616,0.43298969072165
"91","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","3",0.57,0.285087719298246
"92","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","4",0.900497512437811,0.679558011049724
"93","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","5",0.603491271820449,0.181818181818182
"94","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","6",0.780548628428928,0.670926517571885
"95","2f9f948f-d9da-40f2-b5b1-247207217245","12","1",0.765586034912718,0.543973941368078
"96","2f9f948f-d9da-40f2-b5b1-247207217245","12","2",0.817955112219451,0.310975609756098
"97","2f9f948f-d9da-40f2-b5b1-247207217245","12","3",0.82,0.667682926829268
"98","2f9f948f-d9da-40f2-b5b1-247207217245","12","4",0.68407960199005,0.414545454545455
"99","2f9f948f-d9da-40f2-b5b1-247207217245","12","5",0.880299251870324,0.436260623229462
"100","2f9f948f-d9da-40f2-b5b1-247207217245","12","6",0.698254364089776,0.535714285714286
"101","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","1",0.885286783042394,0.507042253521127
"102","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","2",0.640897755610973,0.459143968871595
"103","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","4",0.644278606965174,0.416988416988417
"104","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","5",0.446384039900249,0.418994413407821
"105","3253da16-238b-4f45-8610-dff84aa897d4","6","1",0.920199501246883,0.186991869918699
"106","3253da16-238b-4f45-8610-dff84aa897d4","6","2",0.850374064837905,0.621700879765396
"107","3253da16-238b-4f45-8610-dff84aa897d4","6","3",0.8825,0.597733711048159
"108","3253da16-238b-4f45-8610-dff84aa897d4","6","4",0.828358208955224,0.624624624624625
"109","3253da16-238b-4f45-8610-dff84aa897d4","6","5",0.745635910224439,0.528428093645485
"110","3253da16-238b-4f45-8610-dff84aa897d4","6","6",0.745635910224439,0.832775919732441
"111","388e70f5-902e-4197-9bf0-61e5f32de097","12","1",0.543640897755611,0.321100917431193
"112","388e70f5-902e-4197-9bf0-61e5f32de097","12","2",0.86284289276808,0.658959537572254
"113","388e70f5-902e-4197-9bf0-61e5f32de097","12","3",0.695,0.532374100719424
"114","388e70f5-902e-4197-9bf0-61e5f32de097","12","4",0.651741293532338,0.454198473282443
"115","388e70f5-902e-4197-9bf0-61e5f32de097","12","5",0.825436408977556,0.628398791540785
"116","388e70f5-902e-4197-9bf0-61e5f32de097","12","6",0.591022443890274,0.590717299578059
"117","3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","1",0.359102244389027,0.229166666666667
"118","3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","2",0.618453865336658,0.915322580645161
"119","3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","3",0.82,0.167682926829268
"120","3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","4",0.870646766169154,0.588571428571429
"121","3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","5",0.673316708229426,0.381481481481481
"122","3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","6",0.643391521197007,0.72093023255814
"123","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","1",0.837905236907731,0.586309523809524
"124","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","2",0.596009975062344,0.439330543933054
"125","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","3",0.62,0.524193548387097
"126","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","4",0.604477611940298,0.382716049382716
"127","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","5",0.783042394014963,0.710191082802548
"128","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","6",0.43142144638404,0.485549132947977
"129","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","1",0.548628428927681,0.531818181818182
"130","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","2",0.623441396508728,0.436
"131","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","3",0.545,0.394495412844037
